,X,Y,# of Radars,Solution,Longitude,Latitude
358,486,374,2,Vertex,105.5,37.0
359,486,408,2,Vertex,105.5,37.5
360,486,442,2,Vertex,105.5,38.0
361,486,476,2,Vertex,105.5,38.5
362,486,510,2,Vertex,105.5,39.0
363,486,544,2,Vertex,105.5,39.5
364,486,578,2,Vertex,105.5,40.0
365,486,612,2,Vertex,105.5,40.5
366,486,646,2,Vertex,105.5,41.0
367,513,34,2,Vertex,105.0,32.0
368,513,68,2,Vertex,105.0,32.5
369,513,102,2,Vertex,105.0,33.0
370,513,136,2,Vertex,105.0,33.5
371,513,170,2,Vertex,105.0,34.0
372,513,204,2,Vertex,105.0,34.5
373,513,238,2,Vertex,105.0,35.0
374,513,272,2,Vertex,105.0,35.5
375,513,306,2,Vertex,105.0,36.0
376,513,340,2,Vertex,105.0,36.5
377,513,374,2,Vertex,105.0,37.0
378,513,408,2,Vertex,105.0,37.5
379,513,442,2,Vertex,105.0,38.0
380,513,476,2,Vertex,105.0,38.5
381,513,510,2,Vertex,105.0,39.0
382,513,544,2,Vertex,105.0,39.5
383,513,578,2,Vertex,105.0,40.0
384,513,612,2,Vertex,105.0,40.5
385,513,646,2,Vertex,105.0,41.0
386,540,34,2,Vertex,104.5,32.0
387,540,68,2,Vertex,104.5,32.5
388,540,102,2,Vertex,104.5,33.0
389,540,136,2,Vertex,104.5,33.5
390,540,170,2,Vertex,104.5,34.0
391,540,204,2,Vertex,104.5,34.5
392,540,238,2,Vertex,104.5,35.0
393,540,272,2,Vertex,104.5,35.5
394,540,306,2,Vertex,104.5,36.0
395,540,340,2,Vertex,104.5,36.5
396,540,374,2,Vertex,104.5,37.0
397,540,408,2,Vertex,104.5,37.5
398,540,442,2,Vertex,104.5,38.0
399,540,476,2,Vertex,104.5,38.5
400,540,510,2,Vertex,104.5,39.0
401,540,544,2,Vertex,104.5,39.5
402,540,578,2,Vertex,104.5,40.0
403,540,612,2,Vertex,104.5,40.5
404,540,646,2,Vertex,104.5,41.0
405,567,34,2,Vertex,104.0,32.0
406,567,68,2,Vertex,104.0,32.5
407,567,102,2,Vertex,104.0,33.0
408,567,136,2,Vertex,104.0,33.5
409,567,170,2,Vertex,104.0,34.0
410,567,204,2,Vertex,104.0,34.5
411,567,238,2,Vertex,104.0,35.0
412,567,272,2,Vertex,104.0,35.5
413,567,306,2,Vertex,104.0,36.0
414,567,340,2,Vertex,104.0,36.5
415,567,374,2,Vertex,104.0,37.0
416,567,408,2,Vertex,104.0,37.5
417,567,442,2,Vertex,104.0,38.0
418,567,476,2,Vertex,104.0,38.5
419,567,510,2,Vertex,104.0,39.0
420,567,544,2,Vertex,104.0,39.5
421,567,578,2,Vertex,104.0,40.0
422,567,612,2,Vertex,104.0,40.5
423,567,646,2,Vertex,104.0,41.0
424,594,34,2,Vertex,103.5,32.0
425,594,68,2,Vertex,103.5,32.5
426,594,102,2,Vertex,103.5,33.0
427,594,136,2,Vertex,103.5,33.5
428,594,170,2,Vertex,103.5,34.0
429,594,204,2,Vertex,103.5,34.5
430,594,238,2,Vertex,103.5,35.0
431,594,272,2,Vertex,103.5,35.5
432,594,306,2,Vertex,103.5,36.0
433,594,340,2,Vertex,103.5,36.5
434,594,374,2,Vertex,103.5,37.0
435,594,408,2,Vertex,103.5,37.5
436,594,442,2,Vertex,103.5,38.0
437,594,476,2,Vertex,103.5,38.5
438,594,510,2,Vertex,103.5,39.0
439,594,544,2,Vertex,103.5,39.5
440,594,578,2,Vertex,103.5,40.0
441,594,612,2,Vertex,103.5,40.5
442,594,646,2,Vertex,103.5,41.0
443,621,34,2,Vertex,103.0,32.0
444,621,68,2,Vertex,103.0,32.5
445,621,102,2,Vertex,103.0,33.0
446,621,136,2,Vertex,103.0,33.5
447,621,170,2,Vertex,103.0,34.0
448,621,204,2,Vertex,103.0,34.5
449,621,238,2,Vertex,103.0,35.0
450,621,272,2,Vertex,103.0,35.5
451,621,306,2,Vertex,103.0,36.0
452,621,340,2,Vertex,103.0,36.5
453,621,374,2,Vertex,103.0,37.0
454,621,408,2,Vertex,103.0,37.5
455,621,442,2,Vertex,103.0,38.0
456,621,476,2,Vertex,103.0,38.5
457,621,510,2,Vertex,103.0,39.0
458,621,544,2,Vertex,103.0,39.5
459,621,578,2,Vertex,103.0,40.0
460,621,612,2,Vertex,103.0,40.5
461,621,646,2,Vertex,103.0,41.0
462,648,374,2,Vertex,102.5,37.0
463,648,408,2,Vertex,102.5,37.5
464,648,442,2,Vertex,102.5,38.0
465,648,476,2,Vertex,102.5,38.5
466,648,510,2,Vertex,102.5,39.0
467,648,544,2,Vertex,102.5,39.5
468,648,578,2,Vertex,102.5,40.0
469,648,612,2,Vertex,102.5,40.5
470,648,646,2,Vertex,102.5,41.0
471,675,374,2,Vertex,102.0,37.0
472,675,408,2,Vertex,102.0,37.5
473,675,442,2,Vertex,102.0,38.0
