,X,Y,DC,# of Radars,Longitude,Latitude
399,189,544,254.0,4.0,111.0,39.5
400,540,442,254.0,4.0,104.5,38.0
401,162,238,254.0,4.0,111.5,35.0
402,432,170,254.0,4.0,106.5,34.0
403,189,544,253.0,4.0,111.0,39.5
404,540,442,253.0,4.0,104.5,38.0
405,162,238,253.0,4.0,111.5,35.0
406,432,170,253.0,4.0,106.5,34.0
407,540,476,252.0,4.0,104.5,38.5
408,162,544,252.0,4.0,111.5,39.5
409,513,238,252.0,4.0,105.0,35.0
410,189,170,252.0,4.0,111.0,34.0
411,189,544,251.0,4.0,111.0,39.5
412,540,442,251.0,4.0,104.5,38.0
413,513,238,251.0,4.0,105.0,35.0
414,189,170,251.0,4.0,111.0,34.0
415,189,544,250.0,4.0,111.0,39.5
416,540,442,250.0,4.0,104.5,38.0
417,513,238,250.0,4.0,105.0,35.0
418,189,170,250.0,4.0,111.0,34.0
419,189,544,249.0,4.0,111.0,39.5
420,540,442,249.0,4.0,104.5,38.0
421,513,238,249.0,4.0,105.0,35.0
422,189,170,249.0,4.0,111.0,34.0
423,189,544,248.0,4.0,111.0,39.5
424,540,442,248.0,4.0,104.5,38.0
425,513,238,248.0,4.0,105.0,35.0
426,189,170,248.0,4.0,111.0,34.0
427,189,544,247.0,4.0,111.0,39.5
428,540,442,247.0,4.0,104.5,38.0
429,513,238,247.0,4.0,105.0,35.0
430,189,170,247.0,4.0,111.0,34.0
431,189,544,246.0,4.0,111.0,39.5
432,540,442,246.0,4.0,104.5,38.0
433,513,238,246.0,4.0,105.0,35.0
434,189,170,246.0,4.0,111.0,34.0
435,189,544,245.0,4.0,111.0,39.5
436,540,442,245.0,4.0,104.5,38.0
437,513,238,245.0,4.0,105.0,35.0
438,189,170,245.0,4.0,111.0,34.0
439,189,544,244.0,4.0,111.0,39.5
440,405,102,244.0,4.0,107.0,33.0
441,594,476,244.0,4.0,103.5,38.5
442,135,238,244.0,4.0,112.0,35.0
443,189,544,243.0,4.0,111.0,39.5
444,405,102,243.0,4.0,107.0,33.0
445,594,476,243.0,4.0,103.5,38.5
446,135,238,243.0,4.0,112.0,35.0
447,189,544,242.0,4.0,111.0,39.5
448,405,102,242.0,4.0,107.0,33.0
449,594,476,242.0,4.0,103.5,38.5
450,135,238,242.0,4.0,112.0,35.0
451,189,544,241.0,4.0,111.0,39.5
452,405,102,241.0,4.0,107.0,33.0
453,594,476,241.0,4.0,103.5,38.5
454,135,238,241.0,4.0,112.0,35.0
455,189,544,240.0,4.0,111.0,39.5
456,405,102,240.0,4.0,107.0,33.0
457,594,476,240.0,4.0,103.5,38.5
458,135,238,240.0,4.0,112.0,35.0
459,216,578,239.0,4.0,110.5,40.0
460,432,170,239.0,4.0,106.5,34.0
461,513,510,239.0,4.0,105.0,39.0
462,135,204,239.0,4.0,112.0,34.5
463,216,578,238.0,4.0,110.5,40.0
464,432,170,238.0,4.0,106.5,34.0
465,513,510,238.0,4.0,105.0,39.0
466,135,204,238.0,4.0,112.0,34.5
467,432,170,237.0,4.0,106.5,34.0
468,108,510,237.0,4.0,112.5,39.0
469,513,510,237.0,4.0,105.0,39.0
470,135,204,237.0,4.0,112.0,34.5
471,432,170,236.0,4.0,106.5,34.0
472,108,510,236.0,4.0,112.5,39.0
473,513,510,236.0,4.0,105.0,39.0
474,135,204,236.0,4.0,112.0,34.5
475,432,170,235.0,4.0,106.5,34.0
476,108,510,235.0,4.0,112.5,39.0
477,513,510,235.0,4.0,105.0,39.0
478,135,204,235.0,4.0,112.0,34.5
479,540,476,234.0,4.0,104.5,38.5
480,162,204,234.0,4.0,111.5,34.5
481,432,170,234.0,4.0,106.5,34.0
482,162,578,234.0,4.0,111.5,40.0
483,540,476,233.0,4.0,104.5,38.5
484,162,204,233.0,4.0,111.5,34.5
485,432,170,233.0,4.0,106.5,34.0
486,162,578,233.0,4.0,111.5,40.0
487,162,204,232.0,5.0,111.5,34.5
488,486,442,232.0,5.0,105.5,38.0
489,162,578,232.0,5.0,111.5,40.0
490,459,136,232.0,5.0,106.0,33.5
491,513,510,232.0,5.0,105.0,39.0
492,162,204,231.0,5.0,111.5,34.5
493,486,442,231.0,5.0,105.5,38.0
494,162,578,231.0,5.0,111.5,40.0
495,459,136,231.0,5.0,106.0,33.5
496,513,510,231.0,5.0,105.0,39.0
497,189,510,230.0,5.0,111.0,39.0
498,81,510,230.0,5.0,113.0,39.0
499,540,510,230.0,5.0,104.5,39.0
500,162,170,230.0,5.0,111.5,34.0
501,459,170,230.0,5.0,106.0,34.0
502,189,510,229.0,5.0,111.0,39.0
503,81,510,229.0,5.0,113.0,39.0
504,540,510,229.0,5.0,104.5,39.0
505,162,170,229.0,5.0,111.5,34.0
506,459,170,229.0,5.0,106.0,34.0
507,189,510,228.0,5.0,111.0,39.0
508,81,510,228.0,5.0,113.0,39.0
509,540,510,228.0,5.0,104.5,39.0
510,162,170,228.0,5.0,111.5,34.0
511,459,170,228.0,5.0,106.0,34.0
512,189,510,227.0,5.0,111.0,39.0
513,81,510,227.0,5.0,113.0,39.0
514,540,510,227.0,5.0,104.5,39.0
